author,date,text
bhuvana31,2020-02-29 05:10:02,b'@goanborn12 @sidharth_shukla You consider your family alone as 3/4th of India what a comedy'
Khsitij3,2020-02-29 05:10:02,b'RT @jihadwatchRS: India: Leftist news outlet NDTV edits out images of mosque with stockpile of stones from video on riots https://t.co/pQUJ\xe2\x80\xa6'
reyaz_nadeem,2020-02-29 05:10:02,b'RT @imMAK02: A mosque was attacked in Dwarka on Friday early Morning.\n\nAccording to residents attackers pelted stones and shouted Jai Sri R\xe2\x80\xa6'
sabirmomin86,2020-02-29 05:10:02,b'RT @TheDeshBhakt: I keep repeating this - satire is a very difficult thing to do in India. You will get beaten every time by the headlines.\xe2\x80\xa6'
SumitSa49362148,2020-02-29 05:10:02,"b'RT @dpradhanbjp: There is no dearth of raw materials in India. We are also exploring alternative, cleaner energy sources. \n\nToday, it is on\xe2\x80\xa6'"
KhanNizamb,2020-02-29 05:10:02,b'RT @DilliDurAst: \xe2\x80\x9cFive of the eight seats the BJP won in the 70-member Assembly fall in northeast Delhi where rioting took place\xe2\x80\x9d https://t\xe2\x80\xa6'
gifincric,2020-02-29 05:10:02,b'India Women 0-0(0) vs Sri Lanka Women 7-84(16.0)\nLive: Sri Lanka Women won the toss and elected to bat.\n\xe2\xac\x87\xef\xb8\x8f\xe2\xac\x87\xef\xb8\x8f\xe2\xac\x87\xef\xb8\x8f\xe2\x80\xa6 https://t.co/H8XYqGJAQ5'
rynyhya,2020-02-29 05:10:02,b'RT @uzz_syazz: Pray for Muslim .  Pray for India \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 . Pray for Malaysia \xf0\x9f\x87\xb2\xf0\x9f\x87\xbe'
SameerKhan_1993,2020-02-29 05:10:03,"b'RT @ThePeopleOfIN: Amidst multiple reports and eye witness accounts of the inaction of @DelhiPolice , it is indeed heartwarming to see that\xe2\x80\xa6'"
Karanjit_6838,2020-02-29 05:10:03,"b'RT @VishalDadlani: #AAP started out as people criticising a government that was wrong.\n\nMost #AAP supporters are still those people, &amp; stil\xe2\x80\xa6'"
FightersIntel,2020-02-29 05:10:03,b'RT @AmyMek: Trump refuses to condemn India\xe2\x80\x99s law (CAA) that fast tracks citizenship to victims of Muslim persecution in three Islamic Natio\xe2\x80\xa6'
VINAYSOGANE,2020-02-29 05:10:03,"b'RT @prasannavishy: How India has largely remained immune to coronavirus,  \n\nMonitoring and restricting the mobility of passengers travellin\xe2\x80\xa6'"
ManavSood15,2020-02-29 05:10:03,"b'RT @ashoswai: In New India, a Muslim must surrender himself to die when a Hindutva mob comes attacking. If he resists and tries to survive,\xe2\x80\xa6'"
cynical21,2020-02-29 05:10:03,"b""RT @PoisonOfChoice: Bigot AND racist. Naiiice! \xf0\x9f\x98\x82\n\nNot the first time she has disparaged India and it's culture either. Classic case of when\xe2\x80\xa6"""
deepanreddyeee,2020-02-29 05:10:03,b'RT @Tentkotta: The Times of India on #Darbar: An engaging commercial cocktail of action and drama.\n\nWatch Now: #Darbar\n\n#GoLegal #SayNoToPi\xe2\x80\xa6'
sivumessi,2020-02-29 05:10:03,"b'Experts, how many wickets does india need today to stay in the match#staraikelungal'"
TKSSFc,2020-02-29 05:10:04,"b""RT @indiabestdancer: The trick to win\xc2\xa0#DrT's approval lies in using the right techniques. Watch India\xe2\x80\x99s best moves in\xc2\xa0#IndiasBestDancer\xc2\xa0fro\xe2\x80\xa6"""
KapilSharmaFC9,2020-02-29 05:10:04,"b""RT @indiabestdancer: The trick to win\xc2\xa0#DrT's approval lies in using the right techniques. Watch India\xe2\x80\x99s best moves in\xc2\xa0#IndiasBestDancer\xc2\xa0fro\xe2\x80\xa6"""
Kuldeep28710656,2020-02-29 05:10:04,b'@Kamallochanm @KapilMishra_IND Government of India\nFir against All These Bollywood'
MiteshSonigra,2020-02-29 05:10:04,b'RT @anita_chauhan80: 1st Image: \xf0\x9d\x97\xa0\xf0\x9d\x97\xbf\xf0\x9d\x98\x80 \xf0\x9d\x97\x9e\xf0\x9d\x97\xae\xf0\x9d\x97\xbb\xf0\x9d\x97\xb6\xf0\x9d\x97\xb8\xf0\x9d\x97\xae \xf0\x9d\x97\xa5\xf0\x9d\x97\xae\xf0\x9d\x97\xbb\xf0\x9d\x97\xb2 receiving Sena Medal on behalf of her husband Major Kaustubh Rane in 2019.\n\n2nd Image: \xf0\x9d\x97\x9f\xf0\x9d\x97\xae\xf0\x9d\x97\xb1\xf0\x9d\x98\x86\xe2\x80\xa6'
15062002np,2020-02-29 05:10:04,b'#asksportstak @vikrantgupta73 @RavatRahul9 Sir i do agree Ondia did not bat well after getting great starts but i w\xe2\x80\xa6 https://t.co/tWxfdwBoge'
Zahira38458194,2020-02-29 05:10:04,b'RT @kamaalrkhan: 12 Hindu billionaires live in the UAE instead of India because they don\xe2\x80\x99t feel safe in India. But they feel more safe in a\xe2\x80\xa6'
ranjit0852,2020-02-29 05:10:04,b'RT @DVATW: Should India now move to ban the pernicious anti Hindu and anti Modi #BBChindi? RT if you agree.'
mny_sharma,2020-02-29 05:10:04,b'@DevenNimkar @rohini_sgh Separatist are those who dividing India in Hindu-Muslim.\nAnd you already know who are they'
Kamodkkumar1,2020-02-29 05:10:04,b'RT @RakeshSinha01: Diversity is the core of idea of India. @BJP4Meghalaya @SangmaConrad https://t.co/fkecAXIjE8'
S_4_G_,2020-02-29 05:10:04,b'RT @RanaAyyub: I write this piece knowing that there will be no closure for me and thousands of riot survivors in India because we are bein\xe2\x80\xa6'
GXYFVCK,2020-02-29 05:10:04,"b""RT @Tinyhoseokk: I'm sorry to bring this on Stan twt. But thr is this whole pogrom/ethnic cleansing going on in India right now..Mosques ar\xe2\x80\xa6"""
John99131809,2020-02-29 05:10:04,"b'@CMOGuj Sir, when will the Police Reforms as mandated by the Supremen Court be implemented in Gujarat? https://t.co/XbyF2sve0Q cc @PMOIndia'"
salim_shafi,2020-02-29 05:10:04,"b'RT @ashoswai: In New India, a Muslim must surrender himself to die when a Hindutva mob comes attacking. If he resists and tries to survive,\xe2\x80\xa6'"
PawanNdpc,2020-02-29 05:10:04,"b'RT @sudhir214: The ""EVILUTION"" of Radical islamic terrorism in India. \nBitter truth of secular India.\xf0\x9f\x98\x94\xf0\x9f\x98\x94\n#AntiHinduDelhiRiots2020 https://t.\xe2\x80\xa6'"
poandpo,2020-02-29 05:10:05,b'India economic growth slowest in over 6 years https://t.co/cNzQx6l7Ba #Economy https://t.co/eQQT8822Zi #275'
Del_Alpha,2020-02-29 05:10:05,b'RT @TahirGora: Turkey has blocked Internet and social media access after a deadly attack on Turkish soldiers. Would Turkey now understand I\xe2\x80\xa6'
drpardeepkapoor,2020-02-29 05:10:05,b'RT @DDNewslive: Who is answerable for  #kashmiripandits forced mass exdous? Has there been a closure for #kashmiripandits forced genocide ?\xe2\x80\xa6'
mansurmishal,2020-02-29 05:10:05,"b""RT @ESPNcricinfo: No. he won't! \n\nTom Latham with a stunning one-handed grab at second slip\n\nIndia 80 for 2 \n\nhttps://t.co/5H3N5uFLXU #NZvI\xe2\x80\xa6"""
ravigupta00,2020-02-29 05:10:05,"b'RT @Imamofpeace: Probably as a result of jealousy over Trump\xe2\x80\x99s visit to India, we have witnessed a vicious global attack on India, Hinduism\xe2\x80\xa6'"
shubhamnagar,2020-02-29 05:10:05,b'RT @SankarshanT: This is who you are @ArvindKejriwal and @AamAadmiParty \nThis is how you equally let down the people who handed you a renew\xe2\x80\xa6'
DiptiChavan11,2020-02-29 05:10:05,b'RT @ShivsenaComms: IBLA Awards LIVE: 15th CNBC-TV18 India Business Leader Awards https://t.co/5BeI4WsanX'
nzyrw,2020-02-29 05:10:06,b'RT @HotP3pp3rminTea: Look at this poor citizenship law damaged #SolidarityForIndiaMoslem #SolidarityForIndiaMoslem'
hegde_talks,2020-02-29 05:10:06,b'RT @jihadwatchRS: India: Leftist news outlet NDTV edits out images of mosque with stockpile of stones from video on riots https://t.co/pQUJ\xe2\x80\xa6'
RizwanH40818952,2020-02-29 05:10:06,b'RT @BCCI: Innings Break!\n\nIndia all out for 242.\n\nFollow the game - https://t.co/VTLQt4iEFz #NZvIND https://t.co/agR0cLMcpZ'
ImaazadS,2020-02-29 05:10:06,b'RT @t_d_h_nair: The BJP had won the 8 /70 Assembly seats in Delhi and 5 is in North East Delhi. The worst riot affected areas are all locat\xe2\x80\xa6'
ishanc,2020-02-29 05:10:06,"b'RT @NioZenji: India just went through a tough period. But never forget, this is the same nation that once influenced other great civilizati\xe2\x80\xa6'"
SumitSa49362148,2020-02-29 05:10:06,b'RT @dpradhanbjp: I am willing to give a double red carpet welcome to all entities willing to setup their industries in India and enable new\xe2\x80\xa6'
fairfriendz,2020-02-29 05:10:07,"b""RT @SoStarMusic: Delhi's Muslims pray under armed guard after week of riots\n\nRegular Friday prayers take place amid heightened sectarian te\xe2\x80\xa6"""
PRASHANT_P_BLR,2020-02-29 05:10:07,"b'RT @vivekagnihotri: Within 48 hrs after Trump left, all is well. What does it mean?\n\nRadical Islamists hate TRUMP &amp; MODI partnership becaus\xe2\x80\xa6'"
mipaltan,2020-02-29 05:10:07,b'India have gone from 194/4 to 242 all out at Christchurch! \n\n#OneFamily #CricketMeriJaan #NZvIND'
DennisMohan4,2020-02-29 05:10:07,b'RT @MarkHertling: There was a aenior commander in a unit I was a part of during Desert Storm who also didn\xe2\x80\x99t sleep. Called folks in the mid\xe2\x80\xa6'
EGGSHOTT,2020-02-29 05:10:07,b'RT @EXOsAFTERGLOW: Okay @SMTOWNGLOBAL so when is #EXO coming to India? \n\n@weareoneEXO'
wabisabi29,2020-02-29 05:10:07,"b'RT @AshaRangappa_: Is this supposed to be a positive? Lack of sleep contributes to poor brain functioning, lower immunity, and overall poor\xe2\x80\xa6'"
ans_ika,2020-02-29 05:10:07,"b""RT @YasirQadhi: La ilaha illa Allah. How can one's heart not break? A child crying, pleading to her mother in fear, as her father and famil\xe2\x80\xa6"""
VPSecretariat,2020-02-29 05:10:07,"b'The Vice President of India Shri M Venkaiah Naidu with the Chairmen of various Port Trusts in Mamallapuram, Tamil N\xe2\x80\xa6 https://t.co/JeefjT0CF0'"
akdelta108,2020-02-29 05:10:08,"b'RT @RMCpost: This single corrupt Gandhi family is the root of many evils in  India.. Besides.. in every incident of violence.. their ""Hand""\xe2\x80\xa6'"
BJP4Odisha,2020-02-29 05:10:08,"b'RT @dpradhanbjp: Along with colleagues from @BJP4Odisha accompanied Hon. Home Minister Shri @AmitShah to Jagannath Temple, Puri and sought\xe2\x80\xa6'"
_anti_national,2020-02-29 05:10:08,"b'""It could, regrettably, begin the beginning of a very long, dark phase for India"". #DelhiRiot2020\n\n@ShekharGupta in\xe2\x80\xa6 https://t.co/OYH5Jtna8K'"
MukeshKsinghLaw,2020-02-29 05:10:08,b'Can you shut up &amp; answer @msisodia for attacking @DelhiPolice that Police themselves set fire to buses.\n\nYou assist\xe2\x80\xa6 https://t.co/pMdB1IBAAG'
YearOfMonk,2020-02-29 05:10:08,"b""Doesnt this 'Sab yaad rakha jayega' &amp; 'Hum dekhenge' sound like a open warning to Hindus, that once Moslems reach 4\xe2\x80\xa6 https://t.co/WK3yxYxUo3"""
omaryusuf23,2020-02-29 05:10:08,"b'RT @business: Modi\xe2\x80\x99s new detention camps are the front lines of India\xe2\x80\x99s citizenship battle, and millions could end up in them https://t.co/\xe2\x80\xa6'"
TommyOconnor__,2020-02-29 05:10:08,"b'RT @holyqis8n: now tell me who is the real terrorist then.....fuck let people serve their god in peace, get the fuck off. i wish i could he\xe2\x80\xa6'"
ranainam,2020-02-29 05:10:08,"b'RT @ashoswai: In New India, a Muslim must surrender himself to die when a Hindutva mob comes attacking. If he resists and tries to survive,\xe2\x80\xa6'"
nirbhaavuka,2020-02-29 05:10:08,b'RT @bhatinmaai: Hindus should know they are in a long term civilizational war. Every H should commit to do his bit &amp; fight on till the goal\xe2\x80\xa6'
fAriqJohari,2020-02-29 05:10:09,b'RT @KhaledBeydoun: During the Muslim slaughter in #Delhi:\n\n\xe2\x9c\x94\xef\xb8\x8fChristian leaders opened up their Churches to injured &amp; afraid Muslims\n\n\xe2\x9c\x94\xef\xb8\x8fSikh\xe2\x80\xa6'
safiyyah240,2020-02-29 05:10:09,"b""RT @ajplus: Muslims in New Delhi prayed in the remains of mosques burned down during clashes over India's citizenship law.\n\nThe violence ki\xe2\x80\xa6"""
RizwanH40818952,2020-02-29 05:10:09,"b""RT @lionsdenkxip: BOULT 'EM! \xf0\x9f\x98\x95\n\nTrent Boult finishes things off as India end up with 242 in their first innings. \n\n#SaddaPunjab #NZvIND"""
wijayaaswan,2020-02-29 05:10:09,"b'RT @ustadtengkuzul: I have visited India for many times, since 1996. I see Hindhu dan Moslems lives side by side peacefully for many years\xe2\x80\xa6'"
nady_9876,2020-02-29 05:10:09,b'RT @MaxBoot: .\xe2\x81\xa6@RanaAyyub\xe2\x81\xa9: \xe2\x80\x9cThis did not take place overnight. It was a result of a sustained campaign of hate against Muslims in the six\xe2\x80\xa6'
Dhanraj71645940,2020-02-29 05:10:09,"b""RT @isro: Geo Imaging Satellite-1 (GISAT-1) will be India's first agile Earth observation satellite operating from Geostationary orbit. Lau\xe2\x80\xa6"""
mksharma4269,2020-02-29 05:10:10,"b""RT @TimesNow: 'If Rajiv Gandhi was alive, he would have been hanged', @BJP4India's @TajinderBagga on 1984 riots.\n\nhttps://t.co/JzbBVAX6go"""
Sk3Shakib,2020-02-29 05:10:10,"b""RT @IndiaToday: DSSW students' union demanded the arrest of BJP leader Kapil Mishra. \nhttps://t.co/0MFADBYNDw"""
kajaz91628,2020-02-29 05:10:10,"b'RT @sanya_mansoor: As hundreds of Muslim families leave New Delhi fearing another attack, @RanaAyyub writes, ""the cost of Narendra Modi giv\xe2\x80\xa6'"
RRSanthoshraj,2020-02-29 05:10:10,b'RT @cricbuzz: The 2020 edition of the Asia Cup is set to be a T20 tournament https://t.co/OAPMU4ay5T'
Usman62073968,2020-02-29 05:10:10,b'RT @hasandogan: \xe2\x80\x9cWhere there is love there is life\xe2\x80\x9d This quote of Mahatma Gandhi and the point India ended up today... what a shame! #StopV\xe2\x80\xa6'
ratneshsir,2020-02-29 05:10:10,"b'RT @PrabhakarJakkan: Is India safe for Mens ? Answer is big NO ! Thanks to Indian judiciary , biased laws, &amp; politicians! Stop #FakeCases o\xe2\x80\xa6'"
M0N57A,2020-02-29 05:10:10,"b'RT @HarrietSergeant: China plans to build a shocking 1171 new coal plants, India, 446 and even the EU, 27. We are saving the planet on just\xe2\x80\xa6'"
ArjunAr01426905,2020-02-29 05:10:10,b'RT @PanduGadu2_0: #50DaysOfBBSLN #MaSSMB &amp; #SarileruNeekevvaru Are Trending In India \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x98\x8e\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\n\nSuperstar Fans Mass Started \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d https://t.co/tcX\xe2\x80\xa6'
SumitSa49362148,2020-02-29 05:10:10,b'RT @narendramodi: Welcome to India @realDonaldTrump https://t.co/EOweSVwnXG'
MohammedNYShah1,2020-02-29 05:10:10,"b'RT @ashoswai: In New India, a Muslim must surrender himself to die when a Hindutva mob comes attacking. If he resists and tries to survive,\xe2\x80\xa6'"
Zafirah_ZigZag,2020-02-29 05:10:10,b'RT @ayyubidempire: bruh are u kidding me these are goddamn Nazis'
Biswajeetbasant,2020-02-29 05:10:10,b'Salute u behen.....india proud for u. Jai hind'
CricketNDTVLive,2020-02-29 05:10:10,"b'Play In Progress:  Day 1,New Zealand  (0.0 Ov) Tom Latham 0 (0),  Tom Blundell  0 (0). trail by 242 runs #NZvIND https://t.co/kvVvOinbXb'"
Tamilma92908719,2020-02-29 05:10:10,"b""RT @its_MKP: Don'u Don'u Officially Hits 100 Million Views !!!\n\nThe Only Actor in South India who have 27 10M+ Viewed Video on YouTube &amp;..\xe2\x80\xa6"""
krish_vijayan,2020-02-29 05:10:10,"b""RT @AndColorPockeT: He is from Pune, requesting Pune folks to send the notice, don't let them go free."""
subhasish1986B,2020-02-29 05:10:11,"b""@BCCI Lots of people don't agree with me because they are those peoples who are involve with him indirectly to make\xe2\x80\xa6 https://t.co/uEx4riNueE"""
Obaidu07,2020-02-29 05:10:11,b'RT @EdwardGLuce: \xe2\x80\x9cIndia is being led by a man whose political career is marked by the blood of innocents\xe2\x80\x9d. The fearless @RanaAyyub on the s\xe2\x80\xa6'
AruniKashyap,2020-02-29 05:10:11,b'RT @EdwardGLuce: \xe2\x80\x9cIndia is being led by a man whose political career is marked by the blood of innocents\xe2\x80\x9d. The fearless @RanaAyyub on the s\xe2\x80\xa6'
tweets_fa,2020-02-29 05:10:11,b'RT @svaradarajan: Where the Linear Progression of Hindutva Will Take India https://t.co/vkge9Vmkhw via @thewire_in'
cndrlla_,2020-02-29 05:10:11,b'RT @AkbarTeguhF: Fuck india'
Org12climber,2020-02-29 05:10:11,b'That explains everything! No sleep. What were you two doing all night long together????\xf0\x9f\x98\xb7\xf0\x9f\x99\x88\xf0\x9f\x99\x89\xf0\x9f\x99\x8a'
Abilash48254902,2020-02-29 05:10:11,b'RT @BCCI: Innings Break!\n\nIndia all out for 242.\n\nFollow the game - https://t.co/VTLQt4iEFz #NZvIND https://t.co/agR0cLMcpZ'
PranavIAS,2020-02-29 05:10:12,b'@mufaddal_vohra His  no aggressive nature is cost india as loss'
ThapliyalPrachi,2020-02-29 05:10:12,b'RT @governorswaraj: He was Governor of Reserve Bank of India that is supposed to monitor all the banks. How come he left all the public sec\xe2\x80\xa6'
Rajendr76194898,2020-02-29 05:10:12,"b'RT @VijayaRahatkar: And Credit goes to Abrogation of \nArt 370...\nIndian Penal Code, Criminal Law, Census Act, Prevention of Corruption Act,\xe2\x80\xa6'"
AngelHinakhan56,2020-02-29 05:10:12,b'RT @indiacom: @eyehinakhan Will Amp-up Your Mood With Latest Viral Pictures\n\nhttps://t.co/jWmV38YMcR'
Rahul_K_Parmar,2020-02-29 05:10:12,"b""RT @FinancialXpress: India's GDP growth hit nearly 7-year low of 4.7 per cent in the December quarter, as per official data released on Fri\xe2\x80\xa6"""
Rebecca46347748,2020-02-29 05:10:12,"b'RT @atrupar: ""He had not slept for a day and a half ... the man never sleeps"" -- here\'s Mulvaney claiming Trump didn\'t sleep at all on his\xe2\x80\xa6'"
kahlonjaskaran,2020-02-29 05:10:13,"b'RT @JaiveerShergill: As India\xe2\x80\x99s envoy is enroute Kabul,BJP Govt must clarify:\n1.Terms of enagagement with Taliban\n2. Is India recognizing T\xe2\x80\xa6'"
NoshadShabir,2020-02-29 05:10:13,"b'RT @ashoswai: In New India, a Muslim must surrender himself to die when a Hindutva mob comes attacking. If he resists and tries to survive,\xe2\x80\xa6'"
YunusKalwatar,2020-02-29 05:10:13,"b'RT @ArunSFan: Hello India, millions of Hindu brothers &amp; Sisters living peacefully and are very successful in Muslim majority Countries like\xe2\x80\xa6'"
Hebahersi,2020-02-29 05:10:13,"b'RT @lksriv: This is incredibly difficult to watch, but the world should not look away. \nThis is the setting for a mass atrocity. This is ho\xe2\x80\xa6'"
kanna_ram,2020-02-29 05:10:13,"b'What stupid Logic , he got all his credentials , by proving he is indian . \nTook oath of office as CM &amp; PM.\nBTW wha\xe2\x80\xa6 https://t.co/DkSMpflVKA'"
sanjeevtyagi100,2020-02-29 05:10:13,"b'RT @amitmalviya: In April 2019, an ISIS suspect identified as Mohd Faiz, was arrested from Jafrabad in Delhi. Again in Jan 2020, the Specia\xe2\x80\xa6'"
rknmohanty,2020-02-29 05:10:13,"b'RT @DrAmbardar: As a psychiatrist &amp; psychotherapist, I want to humbly remind my Hindu sisters &amp; brothers in India that too much kindness &amp;\xe2\x80\xa6'"
Manjarihooda,2020-02-29 05:10:13,"b'RT @rupasubramanya: ""Hussain claims Delhi police personnel were present at his house till 4 pm on Feb 25,the day Ankit is believed to have\xe2\x80\xa6'"
prashantricoche,2020-02-29 05:10:13,b'@elmihiro But India media has no credibility why so ever nationally or internationally. Thats why indian media look\xe2\x80\xa6 https://t.co/K2NtxDz7NC'
therussophile,2020-02-29 05:10:14,"b'India Stripping Illegals\xe2\x80\x99 Children of Citizenship\xe2\x80\x94Hope Trump Notices!, by James Kirkpatrick -\xe2\x80\xa6 https://t.co/GBdC3ffSYX'"
sbs_23031931,2020-02-29 05:10:14,b'@imfarukmalik @shivamkm94 @ArfaMalik22 @ShivMishra123 Thn live happily in ur own country who is knwn fr manifestati\xe2\x80\xa6 https://t.co/TLba2EU0Xa'
Jabaar10,2020-02-29 05:10:14,b'RT @IndianExpress: Delhi violence: US urges India to \xe2\x80\x98protect and respect\xe2\x80\x99 right to peaceful assembly\n\nhttps://t.co/jBQ6FwIGuZ'
B1VAIBHAV,2020-02-29 05:10:14,b'RT @RT_com: Police complaint in #India targets Wall Street Journal for stoking \xe2\x80\x98communal tension\xe2\x80\x99 &amp; \xe2\x80\x98defaming\xe2\x80\x99 Hindus amid fatal #Delhi rio\xe2\x80\xa6'
Sandeep03630867,2020-02-29 05:10:14,b'@BBCHindi \xf0\x9f\x91\x87This is wht they r doing wth Non-muslims nd Hindus in the name of #Islam fr spreading ISIS #islam!c cali\xe2\x80\xa6 https://t.co/mDPkLavquZ'
syazzzriena,2020-02-29 05:10:14,b'RT @daniaghauri: Honestly don\xe2\x80\x99t understand how humans are capable of such behavior \xf0\x9f\x98\x94 May Allah help all those suffering in the world.. Kash\xe2\x80\xa6'
DebGaur86,2020-02-29 05:10:14,"b'RT @MirchandaniYana: Absolutely CORRECT! \nMuslims of India, get this loud and CLEAR!\nThe Centre has no problem with YOU\nThe Centre has a pr\xe2\x80\xa6'"
coastaldigest,2020-02-29 05:10:14,b'PM Narendra Modi does not know pain of losing children: Dadi of Shaheenbagh\nhttps://t.co/oV5u40hdYq'
mukulnda,2020-02-29 05:10:14,b'RT @VikasSaraswat: This arrest @KapilMishra_IND chorus is so outlandish and provocative that those making the call should be arrested. They\xe2\x80\xa6'
AskGabbarSingh,2020-02-29 05:10:14,"b'RT @AAOLion: So secular industries of India,\nnow becomes Dracullar Insanity\nWhich include Congtards, Leftist Mullah,Designer Media Maniac M\xe2\x80\xa6'"
USAndIndia,2020-02-29 05:10:14,"b'RT @USAmbIndia: \xe2\x80\x9cIndia now faces some of the same challenges we faced in the past. But if India learns from our experiences, it might be ab\xe2\x80\xa6'"
XLNCPost,2020-02-29 05:10:15,"b'RT @SoStarMusic: Delhi riots: Muslim women recall horror of Molotov cocktails and arson\n\n""From our window, we could see another Muslim neig\xe2\x80\xa6'"
taldaknsom,2020-02-29 05:10:15,b'RT @jihadwatchRS: India: Leftist news outlet NDTV edits out images of mosque with stockpile of stones from video on riots https://t.co/pQUJ\xe2\x80\xa6'
aryamanbhardwa,2020-02-29 05:10:15,"b'RT @ByRakeshSimha: In New Zealand schools, Muslim students are blasting India and telling teachers and White students that Hindus have unle\xe2\x80\xa6'"
75satellites,2020-02-29 05:10:15,"b'India space community needs support from policy makers to ensure adequate access to spectrum, orbital debris mitiga\xe2\x80\xa6 https://t.co/OxrDbkZbyK'"
PremKum73382357,2020-02-29 05:10:16,b'#staraikellungal\nBumrah wicket less a pogum bothu india more struggle...\nUnga karuthu experts'
InsaPooja,2020-02-29 05:10:16,"b'RT @sudeshinsan10: #CelebrationsWithWelfare\nToday on the pious occasion of Maha Rehmokaram Day, thousands of followers from various states\xe2\x80\xa6'"
